Borough Code,Borough Name,AvPTAI2015,PTAL
E09000021,Kingston upon Thames,5.425275,2
E09000008,Croydon,6.757744,2
E09000006,Bromley,3.592084,1b
E09000018,Hounslow,5.842208,2
E09000009,Ealing,8.50351,2
E09000016,Havering,2.747859,1b
E09000017,Hillingdon,3.561241,1b
E09000015,Harrow,5.822306,2
E09000005,Brent,9.223249,2
E09000003,Barnet,5.54233,2
E09000022,Lambeth,22.239912,5
E09000028,Southwark,20.513884,5
E09000023,Lewisham,12.590368,3
E09000011,Greenwich,8.37817,2
E09000004,Bexley,4.552927,1b
E09000010,Enfield,4.627966,1b
E09000031,Waltham Forest,7.831742,2
E09000026,Redbridge,5.73344,2
E09000029,Sutton,5.396992,2
E09000027,Richmond upon Thames,4.896334,1b
E09000024,Merton,8.561352,2
E09000032,Wandsworth,13.973088,3
E09000013,Hammersmith and Fulham,16.325973,4
E09000020,Kensington and Chelsea,23.262691,5
E09000033,Westminster,39.750796,6a
E09000007,Camden,24.316782,5
E09000030,Tower Hamlets,18.53287,4
E09000019,Islington,26.667566,6a
E09000012,Hackney,17.478762,4
E09000014,Haringey,12.614837,3
E09000025,Newham,11.079336,3
E09000002,Barking and Dagenham,5.58373,2
E09000001,City of London,90.802508,6b
